id;question_identifier;item_identifier
1;FAMILY_AFFECTED_NIECE_SIDE;SELF_BREAST_BIOPSY_NO
2;CONSENT_DATA_RESEARCH;FAMILY_BREAST_AFFECTED_HALFSISTER
3;SELF_BREAST_BIOPSY_DIAGNOSIS_TYPES;FAMILY_AFFECTED_AUNT_SIDE_MOTHER
4;FAMILY_BREAST_AFFECTED;CONSENT_FUTURE_RESEARCH_NO
5;FAMILY_BREAST_AFFECTED;BROTHER_BREAST_CANCER_YES
6;FAMILY_AFFECTED_HALFSISTER_SIDE;FAMILY_OVARIAN_HOW_MANY_MORE
7;SELF_MENOPAUSAL_AGE;SELF_ASHKENAZI_UNKNOWN
8;FAMILY_BREAST_HOW_MANY;CONSENT_INFO_SHEET_YES
9;SELF_PREMENOPAUSAL;BROTHER_BREAST_CANCER_YES
10;CONSENT_BY_LETTER;FAMILY_BREAST_HOW_MANY_MORE
