id;uuid;question_group_uuid;question_uuid;jhi_order
1;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;55829
2;THX pink even-keeled;bus Internal AI;THX bypassing Marketing;78534
3;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;99445
4;Fish;Networked;Fish;36646
5;program alarm;Nevada;Berkshire;63633
6;Ergonomic;Strategist target;Investor users dot-com;64510
7;Libyan Dinar CSS;sensor;Alaska;76855
8;Intelligent Frozen Sausages Villages;Human;back up Factors;33075
9;Venezuela Wisconsin;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;39469
10;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;70891
