id,identifier,question_id,jhi_order,label
1,SELF_PREMENOPAUSAL_YES,2,1,Yes
2,SELF_PREMENOPAUSAL_NO,2,2,No
3,SELF_PREMENOPAUSAL_UNKNOWN,2,3,Don't Know
4,SELF_BREAST_BIOPSY_YES,8,1,Yes
5,SELF_BREAST_BIOPSY_NO,8,2,No
6,SELF_BREAST_BIOPSY_UNKNOWN,8,3,Don't Know
7,SELF_BREAST_BIOPSY_DIAGNOSIS_RISK_YES,9,1,Yes
8,SELF_BREAST_BIOPSY_DIAGNOSIS_RISK_NO,9,2,No
9,SELF_BREAST_BIOPSY_DIAGNOSIS_RISK_UNKNOWN,9,3,Don't Know
10,SELF_BREAST_BIOPSY_DIAGNOSIS_TYPES_ADH,10,1,ADH
11,SELF_BREAST_BIOPSY_DIAGNOSIS_TYPES_LCIS,10,2,LCIS
12,SELF_BREAST_BIOPSY_DIAGNOSIS_TYPES_ALH,10,3,ALH
13,SELF_BREAST_BIOPSY_DIAGNOSIS_TYPES_OTHER,10,4,Other
14,SELF_BREAST_BIOPSY_DIAGNOSIS_TYPES_FORGOT,10,5,Forgot
15,SELF_BREAST_BIOPSY_DIAGNOSIS_TYPES_UNKNOWN,10,6,Don't Know
16,SELF_ASHKENAZI_YES,11,1,Yes
17,SELF_ASHKENAZI_NO,11,2,No
18,SELF_ASHKENAZI_UNKNOWN,11,3,Don't Know
19,FAMILY_BLOOD_RELATIVES_MOTHER,12,1,Mother
20,FAMILY_BLOOD_RELATIVES_SISTERS,12,2,Sisters
21,FAMILY_BLOOD_RELATIVES_NIECES,12,3,Nieces
22,FAMILY_MATERNAL_RELATIVES_HALF_SISTERS,13,1,Half Sisters
23,FAMILY_MATERNAL_RELATIVES_GRANDMOTHER,13,2,Grandmother
24,FAMILY_MATERNAL_RELATIVES_AUNTS,13,3,Aunts
25,FAMILY_MATERNAL_RELATIVES_COUSINS,13,4,Cousins
26,FAMILY_PATERNAL_RELATIVES_HALF_SISTERS,14,1,Half Sisters
27,FAMILY_PATERNAL_RELATIVES_GRANDMOTHER,14,2,Grandmother
28,FAMILY_PATERNAL_RELATIVES_AUNTS,14,3,Aunts
29,FAMILY_PATERNAL_RELATIVES_COUSINS,14,4,Cousins
30,RELATIVE_DIAGNOSIS_UNILATERAL,16,1,Unilateral
31,RELATIVE_DIAGNOSIS_BILATERAL,16,2,Bilateral
32,RELATIVE_DIAGNOSIS_UNKNOWN,16,3,Don't Know
33,RELATIVE_GENETIC_TESTING_YES,19,1,Yes
34,RELATIVE_GENETIC_TESTING_NO,19,2,No
35,RELATIVE_GENETIC_TESTING_UNKNOWN,19,3,Don't Know
36,RELATIVE_GENETIC_TESTING_RESULT_BRCA1,20,1,BCRA1
37,RELATIVE_GENETIC_TESTING_RESULT_BRCA2,20,2,BCRA2
38,RELATIVE_GENETIC_TESTING_RESULT_NONE,20,3,No Mutation
39,RELATIVE_GENETIC_TESTING_RESULT_UNKNOWN,20,4,Unknown
