id,identifier,jhi_order,relative_name,questionnaire_id,question_group_id
1,PERSONAL_HISTORY,1,,1,1
2,FAMILY_HISTORY,2,,1,2
3,MOTHER,3,mother,1,3
4,SISTER_COUNT,4,,1,4
5,SISTERS,5,sister,1,3
6,NIECE_COUNT,6,,1,4
7,NIECES,7,niece,1,3
8,MATERNAL_HALF_SISTER_COUNT,8,,1,4
9,MATERNAL_HALF_SISTERS,9,maternal half-sister,1,3
10,MATERNAL_GRANDMOTHER,10,maternal grandmother,1,3
11,MATERNAL_AUNT_COUNT,11,,1,4
12,MATERNAL_AUNTS,12,maternal aunt,1,3
13,MATERNAL_COUSIN_COUNT,13,,1,4
14,MATERNAL_COUSINS,14,maternal cousin,1,3
15,PATERNAL_HALF_SISTER_COUNT,15,,1,4
16,PATERNAL_HALF_SISTERS,16,paternal half-sister,1,3
17,PATERNAL_GRANDMOTHER,17,paternal grandmother,1,3
18,PATERNAL_AUNT_COUNT,18,,1,4
19,PATERNAL_AUNTS,19,paternal aunt,1,3
20,PATERNAL_COUSIN_COUNT,20,,1,4
21,PATERNAL_COUSINS,21,paternal cousin,1,3
22, MALE_BREAST_CANCER,22,,1,5
