id;and_group;type;question_identifier;item_identifier;number
1;79829;ITEMS_AT_LEAST;SELF_HEIGHT;FAMILY_BREAST_AFFECTED_SISTER;3594
2;32815;ITEM_SPECIFIC;SELF_HEIGHT;SELF_BREAST_BIOPSY_DIAGNOSIS_RISK_UNKNOWN;82786
3;76999;ITEMS_AT_LEAST;FAMILY_OVARIAN_HOW_MANY;FAMILY_AFFECTED_AUNT_SIDE_MOTHER;54063
4;69951;ITEM_SPECIFIC;FAMILY_AFFECTED_AUNT_MOTHERS_AGE;SELF_BREAST_BIOPSY_DIAGNOSIS_RISK_YES;74404
5;7845;ITEM_SPECIFIC;SELF_BREAST_BIOPSY_DIAGNOSIS_TYPES;SELF_BREAST_BIOPSY_DIAGNOSIS_RISK_NO;15643
6;44235;VALUE_UNDER;SELF_PREGNANCY_FIRST_AGE;CONSENT_FUTURE_RESEARCH_NO;51669
7;73789;ITEM_SPECIFIC;SELF_PREGNANCY_FIRST_AGE;SELF_BREAST_BIOPSY_DIAGNOSIS_TYPES_UNKNOWN;11607
8;9179;ITEM_SPECIFIC;CONSENT_BY_LETTER;SELF_BREAST_BIOPSY_DIAGNOSIS_RISK_NO;80691
9;47347;ITEMS_AT_LEAST;CONSENT_DATA_RESEARCH;FAMILY_OVARIAN_AFFECTED_GRANDMOTHER;62585
10;93343;ITEM_SPECIFIC;SELF_MENOPAUSAL_AGE;FATHER_BREAST_CANCER_YES;67716
