id,question_identifier,item_identifier,question_section_id,question_id
1,null,FAMILY_BREAST_AFFECTED_SISTER,3,null
2,null,FAMILY_BREAST_AFFECTED_HALFSISTER,3,null
3,null,FAMILY_BREAST_AFFECTED_AUNT,3,null
4,null,FAMILY_BREAST_AFFECTED_NIECE,3,null
5,null,FAMILY_OVARIAN_AFFECTED_SISTER,6,null
6,null,FAMILY_OVARIAN_AFFECTED_HALFSISTER,6,null
7,null,FAMILY_OVARIAN_AFFECTED_AUNT,6,null
8,null,FAMILY_OVARIAN_AFFECTED_NIECE,6,null
9,null,FAMILY_BREAST_AFFECTED_GRANDMOTHER,7,null
10,null,FAMILY_OVARIAN_AFFECTED_GRANDMOTHER,7,null
11,null,FAMILY_AFFECTED_GRANDMOTHER_SIDE_MOTHER,null,19
12,null,FAMILY_BREAST_AFFECTED_AUNT,8,null
13,null,FAMILY_OVARIAN_AFFECTED_AUNT,8,null
14,null,FAMILY_AFFECTED_AUNT_SIDE_MOTHER,null,21
15,null,FAMILY_BREAST_AFFECTED_NIECE,9,null
16,null,FAMILY_OVARIAN_AFFECTED_NIECE,9,null
17,null,FAMILY_AFFECTED_NIECE_SIDE_SISTER,null,23
18,null,FAMILY_BREAST_AFFECTED_HALFSISTER,10,null
19,null,FAMILY_OVARIAN_AFFECTED_HALFSISTER,10,null
20,null,FAMILY_AFFECTED_HALFSISTER_SIDE_MOTHER,null,25
21,null,SELF_PREMENOPAUSAL_YES,null,28
22,SELF_PREGNANCIES,null,null,30
23,null,SELF_BREAST_BIOPSY_DIAGNOSIS_RISK_YES,null,34
24,null,SELF_BREAST_BIOPSY_YES,null,36
